V - Plot 0	I (mA) - Plot 0
1.58837	0.00392105
1.58844	0.00350675
1.58822	0.00363991
1.63937	0.019117
1.63933	0.0195904
1.6396	0.0197976
1.6393	0.0196644
1.65794	0.0331587
1.66985	0.0481623
1.679	0.0627219
1.68476	0.0757428
1.69503	0.105217
1.704	0.134751
1.71439	0.193996
1.72585	0.267563
1.73678	0.372218
1.74761	0.504513
1.75773	0.701631
1.76751	0.955981
1.77752	1.30402
1.79041	1.79881
1.80179	2.47283
1.81551	3.40529
1.82909	4.68294
1.84488	6.43825
1.84571	6.70342
1.84654	6.95465
1.84995	7.2085
1.85064	7.47636
1.85172	7.72525
1.85489	7.99198
1.85545	8.24885
1.8563	8.50102
1.85977	8.76224
1.86031	9.01583
1.86123	9.28615
1.86354	9.54097
1.86503	9.79535
1.86536	10.0487
1.8671	10.3005
1.8697	10.5667
1.8701	10.8167
1.87054	11.0869
1.87305	11.3389
1.87467	11.5871
1.87501	11.8569
1.87596	12.113
1.87907	12.381
1.87978	12.6254
1.88	12.8838
1.88121	13.1504
1.88332	13.3914
1.88457	14.7252
1.88705	14.9781
1.88891	15.2305
1.88957	15.4902
1.8899	15.7407
1.89104	16.0033
1.89275	16.2468
1.89395	16.4931
1.8944	16.7537
1.89469	16.9978
1.8958	17.2483
1.89806	17.4904
1.89913	17.7483
1.8994	17.9913
1.89967	18.2373
1.90051	18.4912
1.9011	18.7509
1.90115	19.0314
1.90241	19.2651
1.90351	19.4444
1.90402	19.5921
1.90417	19.7019
1.90434	19.8002
1.90439	19.8762
1.90438	19.9303
1.90483	20.095
1.90713	20.3461
1.90874	20.6189
1.90907	20.8725
1.90923	21.1146
1.9095	21.3824
1.91011	21.5736
1.90989	21.5752
1.90977	21.5761
1.90958	21.577
1.90949	21.5776
1.90942	21.5785
1.9094	21.5787
1.90936	21.5791
1.90929	21.5799
1.90932	21.5796
1.90929	21.5807
1.90928	21.5809
1.90928	21.5805
1.90937	21.5807
1.90927	21.5813
1.90923	21.5818
1.90922	21.5824
